
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:72:63:44:02:0D, 2021-01-05 01:43:24, 2021-01-05 01:43:25,  1, 270, WPA2, CCMP TKIP, PSK, -86,        8,        2,   0.  0.  0.  0,  13, SO070VOIP020B, 
12:05:72:43:1D:F6, 2021-01-05 01:43:24, 2021-01-05 01:43:25,  1, 130, WPA2, CCMP, PSK, -81,        8,        0,   0.  0.  0.  0,   7, , 
00:27:1C:3F:60:44, 2021-01-05 01:43:24, 2021-01-05 01:43:25,  1, 130, WPA, TKIP, PSK, -88,        4,        0,   0.  0.  0.  0,  17, , 
B4:A9:4F:60:4D:3A, 2021-01-05 01:43:24, 2021-01-05 01:43:28,  9, 130, WPA2, CCMP TKIP, PSK, -52,        1,        0,   0.  0.  0.  0,  15, SK_WiFiGIGA4D37, 
00:27:1C:23:14:E6, 2021-01-05 01:43:24, 2021-01-05 01:43:26,  1, 130, WPA2, CCMP, MGT, -87,        6,        0,   0.  0.  0.  0,   6, U+zone, 
08:5D:DD:36:FC:DD, 2021-01-05 01:43:24, 2021-01-05 01:43:25,  1, 130, WPA2, CCMP TKIP, PSK, -86,        7,        0,   0.  0.  0.  0,  15, olleh_WiFi_FCD9, 
00:72:63:44:02:0C, 2021-01-05 01:43:24, 2021-01-05 01:43:25,  1, 270, WPA, TKIP, PSK, -84,        5,        0,   0.  0.  0.  0,  10, , 
00:05:72:43:1D:F6, 2021-01-05 01:43:24, 2021-01-05 01:43:25,  1, 130, WPA2, CCMP TKIP, PSK, -81,        4,        0,   0.  0.  0.  0,  15, SK_WiFiGIGA1DF7, 
00:27:1C:3F:60:45, 2021-01-05 01:43:24, 2021-01-05 01:43:25,  1, 130, WPA2, CCMP, PSK, -87,        7,        0,   0.  0.  0.  0,   9, U+Net6047, 
08:5D:DD:AA:AF:D4, 2021-01-05 01:43:24, 2021-01-05 01:43:26,  1, 130, WPA2, CCMP TKIP, PSK, -87,        6,        0,   0.  0.  0.  0,  15, olleh_WiFi_AFD0, 
08:5D:DD:CF:0C:26, 2021-01-05 01:43:25, 2021-01-05 01:43:25,  1, 130, WPA2, CCMP, PSK, -88,        2,        0,   0.  0.  0.  0,   9, U+Net0C27, 
0A:5D:DD:36:FC:DD, 2021-01-05 01:43:25, 2021-01-05 01:43:26,  1, 130, WPA2, CCMP TKIP, PSK, -85,        5,        0,   0.  0.  0.  0,  20, olleh_GiGA_WiFi_FCD9, 
00:27:1C:EB:AF:52, 2021-01-05 01:43:25, 2021-01-05 01:43:26,  1, 130, WPA, TKIP, PSK, -75,        8,        0,   0.  0.  0.  0,  17, , 
00:23:AA:49:17:82, 2021-01-05 01:43:25, 2021-01-05 01:43:25,  1, 270, WPA2, CCMP TKIP, PSK, -88,        4,        0,   0.  0.  0.  0,  15, SK_WiFiGIGA1783, 
00:27:1C:EB:AF:53, 2021-01-05 01:43:25, 2021-01-05 01:43:25,  1, 130, WPA2, CCMP, PSK, -74,        7,        0,   0.  0.  0.  0,   9, U+NetAF55, 
00:27:1C:23:14:E4, 2021-01-05 01:43:25, 2021-01-05 01:43:25,  1, 130, WPA, TKIP, PSK, -88,        2,        0,   0.  0.  0.  0,  17, , 
00:27:1C:23:14:E5, 2021-01-05 01:43:25, 2021-01-05 01:43:25,  1, 130, WPA2, CCMP, PSK, -82,        2,        0,   0.  0.  0.  0,   9, U+Net14E7, 
12:23:AA:49:17:82, 2021-01-05 01:43:25, 2021-01-05 01:43:25,  1, 270, WPA2, CCMP, PSK, -84,        1,        0,   0.  0.  0.  0,   7, , 
42:23:AA:BC:BC:1A, 2021-01-05 01:43:25, 2021-01-05 01:43:25,  1, 130, WPA2, CCMP TKIP, PSK, -90,        2,        0,   0.  0.  0.  0,  20, SK_WiFiGIGABC18_2.4G, 
00:23:AA:BC:BC:1A, 2021-01-05 01:43:25, 2021-01-05 01:43:25,  1, 130, WPA2, CCMP TKIP, PSK, -90,        2,        0,   0.  0.  0.  0,  15, SK_WiFiGIGABC18, 
08:5D:DD:96:19:84, 2021-01-05 01:43:25, 2021-01-05 01:43:25,  7, 130, WPA2, CCMP TKIP, PSK, -78,        2,        0,   0.  0.  0.  0,  15, SK_WiFiGIGA1981, 
08:5D:DD:9B:7A:EF, 2021-01-05 01:43:25, 2021-01-05 01:43:25,  7, 130, WPA2, CCMP, PSK, -88,        0,        0,   0.  0.  0.  0,   9, U+Net7AF0, 
08:5D:DD:D8:C1:AF, 2021-01-05 01:43:25, 2021-01-05 01:43:27,  8, 130, WPA2, CCMP TKIP, PSK, -70,        3,        0,   0.  0.  0.  0,  15, SK_WiFiGIGAC1AC, 
0A:5D:DD:96:19:84, 2021-01-05 01:43:25, 2021-01-05 01:43:25,  7, 130, WPA2, CCMP, PSK, -88,        1,        0,   0.  0.  0.  0,   7, , 
90:9F:33:D3:81:EE, 2021-01-05 01:43:25, 2021-01-05 01:43:25,  6, 270, WPA2, CCMP, PSK, -68,        1,        0,   0.  0.  0.  0,   9, lovehouse, 
